chapter,id,eng_name,pol_name,price
Polecamy,73,Lamb curry,"Gotowane kawałki baraniny z cebulą, pomidorami w sosie curry",25zł
Polecamy,74,Mutton Masala,"Kawałki baraniny z cebulą, pomidorami w sosie z pikantnymi przyprawami",25zł
Polecamy,75,Chicken Methi Malai,,25zł
Polecamy,76,Chicken 99,smażone panierowane kawałki kurczaka w ostrym sosie pomidorowym,25zł
Polecamy,77,Red Lamb Curry,jagnięcina w czerwonym tajskim curry,30zł
Polecamy,78,Red Prawn curry,krewetki w czerwonym tajskim curry,35zł
Polecamy,79,Achari Gost,baranina w kwaśnym sosie curry,25zł
Polecamy,80,Papadam,(2szt),6zł
Polecamy,83,Chicken Mint,Kawałki kurczaka w curry miętowym,24zł
Polecamy,84,Panner Tikka Masala,Kawałki sera z cebulą w ostrym sosie pomidorowym,25zł
Polecamy,85,Panner Mint,Kawałki sera w ostrym sosie miętowym,25zł
Polecamy,86,Lamb Mint,Baranina w sosie miętowym curry,28zł
